strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
52000,30-Sep-2025,52000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52000.00,2451.0,-54.0,-2.155688622754491,336,10.31,2827.05,319.85000000000036,12.757259093809841,5740,5600,35,2820.0,35,2822.0,54536.65,52000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52000.00,17479.0,380.0,2.2223521843382654,28504,14.02,37.8,-14.200000000000003,-27.30769230769231,31325,12110,35,37.95,35,38.9,54536.65
52100,30-Sep-2025,52100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52100.00,17.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4935,4935,140,2557.0,140,2856.8,54536.65,52100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52100.00,1152.0,-81.0,-6.569343065693431,2700,13.71,40.05,-16.400000000000006,-29.05225863596104,13300,6125,35,40.05,105,43.5,54536.65
52200,30-Sep-2025,52200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52200.00,51.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5005,4935,70,2269.25,70,2741.5,54536.65,52200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52200.00,1303.0,11.0,0.8513931888544891,2982,13.53,44.45,-17.099999999999994,-27.782290820471157,8855,6965,210,43.85,140,44.45,54536.65
52300,30-Sep-2025,52300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52300.00,30.0,14.0,87.5,15,0.0,2500.0,469.25,23.10722639418934,5495,5530,140,2367.4,140,2690.85,54536.65,52300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52300.00,3120.0,91.0,3.004291845493562,4643,13.28,45.95,-21.299999999999997,-31.672862453531593,11305,5565,315,45.95,35,48.45,54536.65
52400,30-Sep-2025,52400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52400.00,11.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4935,5005,70,2079.9,70,2580.0,54536.65,52400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52400.00,1511.0,-69.0,-4.367088607594937,3645,13.22,52.0,-22.150000000000006,-29.871881321645322,6860,4865,140,50.05,140,54.0,54536.65
52500,30-Sep-2025,52500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52500.00,727.5714285714286,-52.857142857142854,-6.772835438403807,200,9.24,2333.0,293.6500000000001,14.399195822198255,6685,7350,210,2334.7,35,2368.8,54536.65,52500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52500.00,18843.571428571428,-995.4285714285714,-5.0175340058902735,38542,13.07,56.95,-24.450000000000003,-30.036855036855037,13825,14805,70,56.0,70,57.0,54536.65
52600,30-Sep-2025,52600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52600.00,42.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4620,4795,140,2086.3,140,2406.35,54536.65,52600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52600.00,1753.0,-560.0,-24.21098140942499,3502,12.85,61.0,-29.150000000000006,-32.33499722684415,2905,4865,140,60.15,35,65.95,54536.65
52700,30-Sep-2025,52700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52700.00,22.0,-3.0,-12.0,8,0.0,2070.0,-30.0,-1.4285714285714286,4795,4935,70,2087.5,140,2275.05,54536.65,52700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52700.00,2923.0,-111.0,-3.658536585365854,8715,12.74,67.8,-31.700000000000003,-31.859296482412063,5005,5320,140,68.0,350,71.65,54536.65
52800,30-Sep-2025,52800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52800.00,37.0,0.0,0.0,4,13.61,2123.2,404.6999999999998,23.549607215594985,5635,4760,385,1933.3,35,2071.25,54536.65,52800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52800.00,4107.0,-202.0,-4.687862613135298,6472,12.54,73.15,-36.099999999999994,-33.043478260869556,3990,7035,35,72.55,35,75.8,54536.65
52900,30-Sep-2025,52900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52900.00,81.0,12.0,17.391304347826086,34,11.4,1984.45,312.6500000000001,18.701399688958016,6195,6580,70,1930.6,70,1992.35,54536.65,52900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52900.00,2170.0,-150.0,-6.4655172413793105,6005,12.43,81.6,-40.0,-32.89473684210527,5215,11830,105,81.15,35,82.5,54536.65
