strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
24900,30-Sep-2025,24900,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE24900.00,0,0,0.0,0,0.0,0.0,0.0,0.0,2665,2665,130,1088.95,130,1537.2,26125.55,24900,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE24900.00,127,44,53.01204819277108,169,14.44,20.8,-9.3,-30.89700996677741,12805,975,260,19.45,260,24.8,26125.55
24950,30-Sep-2025,24950,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE24950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1885,1885,130,1043.35,130,1470.25,26125.55,24950,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE24950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,5980,1885,130,11.05,130,89.95,26125.55
25000,30-Sep-2025,25000,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25000.00,32,0,0.0,1,8.28,1263.0,74.04999999999995,6.228184532570752,2925,2665,130,1047.85,1755,1369.1,26125.55,25000,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25000.00,570,-52,-8.360128617363344,683,14.08,24.45,-10.650000000000002,-30.341880341880344,12610,3445,65,24.4,65,25.2,26125.55
25050,30-Sep-2025,25050,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25050.00,0,0,0.0,0,0.0,0.0,0.0,0.0,195,130,195,979.35,130,1763.2,26125.55,25050,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25050.00,0,0,0.0,0,0.0,0.0,0.0,0.0,5330,130,130,15.05,130,112.1,26125.55
25100,30-Sep-2025,25100,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25100.00,6,0,0.0,0,0.0,0.0,0.0,0.0,2015,130,130,898.0,130,1701.75,26125.55,25100,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25100.00,2,0,0.0,0,0.0,0.0,0.0,0.0,4745,260,130,15.05,130,142.65,26125.55
25150,30-Sep-2025,25150,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25150.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1885,130,130,890.1,130,1641.15,26125.55,25150,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25150.00,0,0,0.0,0,0.0,0.0,0.0,0.0,130,130,130,0.05,130,111.6,26125.55
25200,30-Sep-2025,25200,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25200.00,29,0,0.0,0,0.0,0.0,0.0,0.0,2015,130,130,855.75,130,1581.65,26125.55,25200,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25200.00,0,0,0.0,0,0.0,0.0,0.0,0.0,195,130,195,0.05,130,108.95,26125.55
25250,30-Sep-2025,25250,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,1885,1885,130,808.4,1755,1500.25,26125.55,25250,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,130,1885,130,0.05,130,111.55,26125.55
25300,30-Sep-2025,25300,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25300.00,20,0,0.0,0,0.0,0.0,0.0,0.0,3185,2925,130,756.1,130,1068.9,26125.55,25300,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25300.00,158,40,33.898305084745765,157,13.04,41.1,-18.199999999999996,-30.691399662731868,7020,910,130,38.95,130,53.2,26125.55
25350,30-Sep-2025,25350,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25350.00,2,0,0.0,0,0.0,0.0,0.0,0.0,2925,1040,130,711.85,130,1034.8,26125.55,25350,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25350.00,91,18,24.65753424657534,58,12.65,42.4,-23.9,-36.048265460030166,2665,390,65,32.7,65,55.35,26125.55
25400,30-Sep-2025,25400,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25400.00,28,0,0.0,0,0.0,0.0,0.0,0.0,3185,2665,130,660.8,130,970.1,26125.55,25400,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25400.00,248,18,7.826086956521739,159,0.0,49.85,-23.6,-32.13070115724983,2990,1625,260,45.85,260,63.1,26125.55
25450,30-Sep-2025,25450,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25450.00,15,0,0.0,0,0.0,0.0,0.0,0.0,2795,2795,130,621.1,130,925.05,26125.55,25450,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25450.00,57,9,18.75,37,12.14,48.75,-36.95,-43.11551925320887,910,520,130,36.15,130,64.3,26125.55
25500,30-Sep-2025,25500,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25500.00,157,-4,-2.484472049689441,26,10.52,800.0,147.0,22.5114854517611,2080,3770,260,582.35,260,875.95,26125.55,25500,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25500.00,1388,702,102.33236151603498,3830,12.43,59.9,-31.300000000000004,-34.32017543859649,5395,12870,65,58.15,260,66.95,26125.55
25550,30-Sep-2025,25550,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25550.00,59,-1,-1.6666666666666667,4,14.28,813.35,197.80000000000007,32.133864024043554,3120,1430,65,667.2,130,830.95,26125.55,25550,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25550.00,162,-294,-64.47368421052632,714,12.31,66.35,-31.55000000000001,-32.22676200204291,3185,1560,65,58.15,260,77.35,26125.55
25600,30-Sep-2025,25600,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25600.00,168,-2,-1.1764705882352942,6,0.0,675.0,98.35000000000002,17.055406225613464,2795,1040,130,468.7,130,801.45,26125.55,25600,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25600.00,283,20,7.604562737642586,278,12.1,71.85,-38.650000000000006,-34.97737556561086,3250,1235,65,68.7,65,77.95,26125.55
25650,30-Sep-2025,25650,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25650.00,125,0,0.0,10,9.96,663.7,125.20000000000005,23.249767873723314,2925,1430,130,425.35,260,863.05,26125.55,25650,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25650.00,209,3,1.4563106796116505,71,11.94,78.95,-43.8,-35.682281059063136,2860,780,65,75.6,130,93.75,26125.55
