strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
12425,30-Sep-2025,12425,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12425.00,19,0,0.0,0,0.0,0.0,0.0,0.0,3780,3780,280,554.95,280,764.0,13050.1,12425,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12425.00,76,18,31.03448275862069,93,18.66,28.1,-24.9,-46.98113207547169,14840,4060,280,25.55,280,29.9,13050.1
12450,30-Sep-2025,12450,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12450.00,53,0,0.0,1,0.0,567.2,77.20000000000005,15.755102040816334,3780,3780,280,564.55,280,713.85,13050.1,12450,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12450.00,110,-38,-25.675675675675677,212,18.5,30.0,-27.5,-47.82608695652174,14420,8260,560,26.9,560,30.85,13050.1
12475,30-Sep-2025,12475,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12475.00,51,0,0.0,0,0.0,0.0,0.0,0.0,3780,3780,280,534.45,280,683.0,13050.1,12475,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12475.00,194,53,37.5886524822695,117,18.23,31.45,-30.05,-48.861788617886184,12740,6720,140,29.5,140,33.65,13050.1
12500,30-Sep-2025,12500,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12500.00,797,-52,-6.124852767962309,379,10.35,621.0,136.3,28.120486899112855,8680,5880,140,615.0,140,635.9,13050.1,12500,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12500.00,5645,-732,-11.478751764152422,12373,18.14,34.05,-31.5,-48.05491990846682,21840,44100,280,33.05,140,34.1,13050.1
12525,30-Sep-2025,12525,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12525.00,69,0,0.0,4,0.0,584.8,131.79999999999995,29.094922737306835,4060,4060,280,557.25,140,606.95,13050.1,12525,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12525.00,114,5,4.587155963302752,134,17.92,36.0,-34.099999999999994,-48.64479315263908,27440,8120,560,34.25,1260,38.75,13050.1
12550,30-Sep-2025,12550,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12550.00,165,-3,-1.7857142857142858,7,0.0,564.0,130.0,29.953917050691242,3920,4200,420,540.35,420,611.15,13050.1,12550,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12550.00,256,-31,-10.801393728222996,475,17.84,39.0,-32.900000000000006,-45.75799721835884,22960,5600,280,37.55,140,39.5,13050.1
12575,30-Sep-2025,12575,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12575.00,70,-2,-2.7777777777777777,5,0.0,541.9,113.89999999999998,26.612149532710276,4060,3780,280,516.3,280,589.8,13050.1,12575,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12575.00,98,-15,-13.274336283185841,112,17.75,42.2,-36.0,-46.03580562659847,28840,4480,560,39.5,560,43.6,13050.1
12600,30-Sep-2025,12600,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12600.00,741,43,6.160458452722063,179,10.97,526.95,124.30000000000007,30.870483049795126,6580,6300,140,500.9,140,538.95,13050.1,12600,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12600.00,2846,628,28.313796212804327,7742,17.47,44.2,-39.0,-46.875,13020,18060,140,44.15,700,45.95,13050.1
12625,30-Sep-2025,12625,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12625.00,59,-3,-4.838709677419355,19,11.66,506.5,150.35000000000002,42.21535869717816,3780,3780,280,387.75,280,546.6,13050.1,12625,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12625.00,143,-23,-13.855421686746988,140,17.59,49.4,-39.50000000000001,-44.431946006749165,3920,4900,700,45.2,560,50.85,13050.1
12650,30-Sep-2025,12650,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12650.00,191,-5,-2.5510204081632653,16,0.0,467.55,109.55000000000001,30.60055865921788,4340,3500,140,461.0,840,522.7,13050.1,12650,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12650.00,328,-22,-6.285714285714286,443,17.34,52.05,-43.75,-45.668058455114824,5460,6580,280,50.25,280,52.7,13050.1
12675,30-Sep-2025,12675,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE12675.00,50,-2,-3.8461538461538463,15,10.83,457.2,111.19999999999999,32.13872832369942,4200,3780,280,433.0,280,500.25,13050.1,12675,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE12675.00,148,-20,-11.904761904761905,299,17.06,55.9,-44.800000000000004,-44.48857994041708,5180,5880,280,54.15,280,56.35,13050.1
