strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
23600,09-Sep-2025,23600,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23600.00,10,-3,-23.076923076923077,12,0.0,1248.0,21.0,1.7114914425427872,5850,6075,300,1265.0,75,1278.0,24868.6,23600,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23600.00,33811,11126,49.04562486224378,238609,30.69,0.05,-0.85,-94.44444444444444,0,173925,0,0.0,111075,0.05,24868.6
23650,09-Sep-2025,23650,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23650.00,9,-6,-40.0,28,0.0,1216.0,25.15000000000009,2.111936851828534,8250,6150,300,1209.9,300,1242.45,24868.6,23650,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23650.00,5607,-612,-9.84081041968162,114722,29.55,0.05,-0.8999999999999999,-94.73684210526315,0,118425,0,0.0,51975,0.05,24868.6
23700,09-Sep-2025,23700,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23700.00,78,-21,-21.21212121212121,148,0.0,1170.5,52.0,4.64908359409924,8325,6300,150,1166.5,300,1174.2,24868.6,23700,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23700.00,28732,1036,3.7406123627960715,290208,28.41,0.05,-0.95,-95.0,0,182625,0,0.0,67125,0.05,24868.6
23750,09-Sep-2025,23750,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23750.00,26,0,0.0,19,0.0,1097.7,37.950000000000045,3.581033262561929,9075,6000,300,1071.55,150,1233.85,24868.6,23750,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23750.00,11836,-2488,-17.369449874336777,213163,27.27,0.05,-0.95,-95.0,0,86925,0,0.0,10275,0.05,24868.6
23800,09-Sep-2025,23800,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23800.00,196,44,28.94736842105263,199,0.0,1070.45,67.55000000000007,6.735467145278699,8700,12300,1800,1070.0,300,1074.25,24868.6,23800,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23800.00,50154,-11259,-18.33325191734649,596530,26.13,0.05,-1.0,-95.23809523809523,0,519525,0,0.0,278625,0.05,24868.6
23850,09-Sep-2025,23850,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23850.00,130,82,170.83333333333334,186,0.0,1016.05,38.59999999999991,3.9490511023581676,16725,6675,150,1016.75,75,1020.3,24868.6,23850,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23850.00,13560,1334,10.911172910191395,264174,24.99,0.05,-1.05,-95.45454545454545,0,228450,0,0.0,79800,0.05,24868.6
23900,09-Sep-2025,23900,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23900.00,205,34,19.883040935672515,273,0.0,971.7,74.80000000000007,8.339837217081064,7275,11775,150,966.85,75,970.2,24868.6,23900,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23900.00,48507,-2331,-4.585152838427947,517679,23.84,0.05,-1.15,-95.83333333333333,0,358500,0,0.0,235725,0.05,24868.6
23950,09-Sep-2025,23950,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE23950.00,78,-5,-6.024096385542169,40,0.0,898.7,45.15000000000009,5.289672544080616,8850,7050,300,822.95,150,969.8,24868.6,23950,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE23950.00,21806,3009,16.007873596850562,263881,22.7,0.05,-1.25,-96.15384615384615,0,385050,0,0.0,180225,0.05,24868.6
24000,09-Sep-2025,24000,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE24000.00,1225,-767,-38.50401606425703,3493,0.0,870.0,63.35000000000002,7.853468046860475,21600,13725,750,869.5,300,870.0,24868.6,24000,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE24000.00,121613,-30137,-19.85963756177924,1404666,21.55,0.05,-1.3499999999999999,-96.42857142857143,0,494100,0,0.0,187125,0.05,24868.6
24050,09-Sep-2025,24050,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE24050.00,115,-54,-31.952662721893493,193,0.0,821.0,69.79999999999995,9.291799787007449,14850,6300,1275,817.4,75,820.0,24868.6,24050,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE24050.00,16503,-840,-4.843452689846047,545462,20.41,0.05,-1.4,-96.55172413793103,0,454500,0,0.0,218850,0.05,24868.6
